"plan_id","feature_id","created"
584,2,"2018-06-04 16:00:32.400854+00"
585,2,"2018-06-04 18:47:03.980104+00"
586,2,"2018-06-04 19:50:53.609973+00"
587,2,"2018-06-04 20:52:25.862815+00"
588,2,"2018-06-04 23:28:03.40072+00"
589,2,"2018-06-05 14:34:46.54612+00"
590,2,"2018-06-05 14:36:51.327802+00"
591,2,"2018-06-05 14:48:13.683783+00"
592,2,"2018-06-06 13:05:46.335484+00"
593,2,"2018-06-13 13:28:47.297583+00"
594,2,"2018-06-13 17:53:02.305375+00"
595,2,"2018-06-14 14:46:38.814761+00"
596,2,"2018-06-14 14:50:55.344055+00"
597,2,"2018-06-14 14:52:47.902156+00"
598,2,"2018-06-14 14:53:57.729602+00"
599,2,"2018-06-14 16:38:22.595853+00"
600,2,"2018-06-14 16:45:59.839319+00"
601,2,"2018-06-15 14:53:32.142489+00"
602,2,"2018-06-15 15:31:31.08614+00"
603,2,"2018-06-15 15:33:15.832911+00"
604,2,"2018-06-15 21:26:40.413695+00"
605,2,"2018-06-15 22:59:41.158632+00"
606,2,"2018-06-16 00:46:53.591582+00"
607,2,"2018-06-19 18:05:39.47784+00"
608,2,"2018-06-19 18:06:48.390995+00"
609,2,"2018-06-19 18:07:41.661079+00"
610,2,"2018-06-19 18:08:39.081978+00"
611,2,"2018-06-20 15:36:39.347755+00"
612,2,"2018-06-21 19:03:46.233996+00"
613,2,"2018-06-21 21:08:42.652439+00"
614,2,"2018-06-21 21:10:42.322008+00"
615,2,"2018-06-22 17:12:37.966395+00"
616,2,"2018-06-28 13:10:41.479629+00"
617,2,"2018-06-28 19:31:36.715431+00"
618,2,"2018-06-28 21:25:09.301255+00"
619,2,"2018-06-28 21:46:25.092213+00"
620,2,"2018-06-29 15:24:44.473905+00"
621,2,"2018-07-04 15:37:28.939808+00"
622,2,"2018-07-05 03:09:33.511821+00"
623,2,"2018-07-06 14:43:51.982393+00"
624,2,"2018-07-09 20:43:11.502626+00"
625,2,"2018-07-09 21:31:17.427631+00"
626,2,"2018-07-09 21:33:52.510864+00"
627,2,"2018-07-10 15:23:50.11116+00"
628,2,"2018-07-11 17:56:44.710546+00"
629,2,"2018-07-11 18:07:12.802639+00"
630,2,"2018-07-11 18:23:29.701424+00"
631,2,"2018-07-12 14:55:49.488187+00"
